location,crop,recommended,agronomist_id,reason,weather_conditions,soil_conditions,agro_ecological_zone,data_classification
Mutare,Cotton,0,AGRI-EXPERT-02,Agronomic consensus for Mutare (Region I): Cotton is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Groundnuts,0,AGRI-EXPERT-04,Agronomic consensus for Mutare (Region I): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Sorghum,0,AGRI-EXPERT-02,Agronomic consensus for Mutare (Region I): Sorghum is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Sunflower,0,AGRI-EXPERT-03,Agronomic consensus for Mutare (Region I): Sunflower is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,SweetPotato,1,AGRI-EXPERT-03,"Agronomic consensus for Mutare (Region I): SweetPotato is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Cassava,0,AGRI-EXPERT-03,Agronomic consensus for Mutare (Region I): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Gweru,Maize,1,AGRI-EXPERT-01,"Agronomic consensus for Gweru (Region III): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Tobacco,0,AGRI-EXPERT-01,Agronomic consensus for Gweru (Region III): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Wheat,1,AGRI-EXPERT-04,"Agronomic consensus for Gweru (Region III): Wheat is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Soybean,1,AGRI-EXPERT-04,"Agronomic consensus for Gweru (Region III): Soybean is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Cotton,0,AGRI-EXPERT-02,Agronomic consensus for Gweru (Region III): Cotton is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Groundnuts,0,AGRI-EXPERT-01,Agronomic consensus for Gweru (Region III): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Sorghum,1,AGRI-EXPERT-02,"Agronomic consensus for Gweru (Region III): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Sunflower,1,AGRI-EXPERT-03,"Agronomic consensus for Gweru (Region III): Sunflower is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,SweetPotato,0,AGRI-EXPERT-04,Agronomic consensus for Gweru (Region III): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Gweru,Cassava,0,AGRI-EXPERT-01,Agronomic consensus for Gweru (Region III): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Masvingo,Maize,0,AGRI-EXPERT-04,Agronomic consensus for Masvingo (Region IV): Maize is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Tobacco,0,AGRI-EXPERT-03,Agronomic consensus for Masvingo (Region IV): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Wheat,0,AGRI-EXPERT-04,Agronomic consensus for Masvingo (Region IV): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Soybean,0,AGRI-EXPERT-01,Agronomic consensus for Masvingo (Region IV): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Cotton,1,AGRI-EXPERT-03,"Agronomic consensus for Masvingo (Region IV): Cotton is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Groundnuts,1,AGRI-EXPERT-02,"Agronomic consensus for Masvingo (Region IV): Groundnuts is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Sorghum,1,AGRI-EXPERT-04,"Agronomic consensus for Masvingo (Region IV): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Sunflower,0,AGRI-EXPERT-03,Agronomic consensus for Masvingo (Region IV): Sunflower is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,SweetPotato,0,AGRI-EXPERT-02,Agronomic consensus for Masvingo (Region IV): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Masvingo,Cassava,1,AGRI-EXPERT-02,"Agronomic consensus for Masvingo (Region IV): Cassava is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Binga,Maize,0,AGRI-EXPERT-02,Agronomic consensus for Binga (Region V): Maize is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Tobacco,0,AGRI-EXPERT-02,Agronomic consensus for Binga (Region V): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Wheat,0,AGRI-EXPERT-03,Agronomic consensus for Binga (Region V): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Soybean,0,AGRI-EXPERT-04,Agronomic consensus for Binga (Region V): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Cotton,1,AGRI-EXPERT-01,"Agronomic consensus for Binga (Region V): Cotton is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Groundnuts,0,AGRI-EXPERT-01,Agronomic consensus for Binga (Region V): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Sorghum,1,AGRI-EXPERT-01,"Agronomic consensus for Binga (Region V): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Sunflower,0,AGRI-EXPERT-01,Agronomic consensus for Binga (Region V): Sunflower is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,SweetPotato,0,AGRI-EXPERT-03,Agronomic consensus for Binga (Region V): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Binga,Cassava,1,AGRI-EXPERT-01,"Agronomic consensus for Binga (Region V): Cassava is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region V,EXPERT GROUND-TRUTH DATA
Chinhoyi,Maize,1,AGRI-EXPERT-02,"Agronomic consensus for Chinhoyi (Region IIa): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Tobacco,1,AGRI-EXPERT-04,"Agronomic consensus for Chinhoyi (Region IIa): Tobacco is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Wheat,1,AGRI-EXPERT-01,"Agronomic consensus for Chinhoyi (Region IIa): Wheat is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Soybean,1,AGRI-EXPERT-03,"Agronomic consensus for Chinhoyi (Region IIa): Soybean is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Cotton,1,AGRI-EXPERT-01,"Agronomic consensus for Chinhoyi (Region IIa): Cotton is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Groundnuts,0,AGRI-EXPERT-03,Agronomic consensus for Chinhoyi (Region IIa): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Sorghum,0,AGRI-EXPERT-02,Agronomic consensus for Chinhoyi (Region IIa): Sorghum is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Sunflower,0,AGRI-EXPERT-04,Agronomic consensus for Chinhoyi (Region IIa): Sunflower is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,SweetPotato,0,AGRI-EXPERT-03,Agronomic consensus for Chinhoyi (Region IIa): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Chinhoyi,Cassava,0,AGRI-EXPERT-01,Agronomic consensus for Chinhoyi (Region IIa): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Kwekwe,Maize,1,AGRI-EXPERT-02,"Agronomic consensus for Kwekwe (Region III): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Tobacco,0,AGRI-EXPERT-04,Agronomic consensus for Kwekwe (Region III): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Wheat,0,AGRI-EXPERT-01,Agronomic consensus for Kwekwe (Region III): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Soybean,0,AGRI-EXPERT-04,Agronomic consensus for Kwekwe (Region III): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Cotton,1,AGRI-EXPERT-02,"Agronomic consensus for Kwekwe (Region III): Cotton is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Groundnuts,0,AGRI-EXPERT-01,Agronomic consensus for Kwekwe (Region III): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Sorghum,1,AGRI-EXPERT-01,"Agronomic consensus for Kwekwe (Region III): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Sunflower,1,AGRI-EXPERT-01,"Agronomic consensus for Kwekwe (Region III): Sunflower is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,SweetPotato,0,AGRI-EXPERT-03,Agronomic consensus for Kwekwe (Region III): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kwekwe,Cassava,0,AGRI-EXPERT-01,Agronomic consensus for Kwekwe (Region III): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Maize,1,AGRI-EXPERT-03,"Agronomic consensus for Kadoma (Region III): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Tobacco,0,AGRI-EXPERT-01,Agronomic consensus for Kadoma (Region III): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Wheat,0,AGRI-EXPERT-01,Agronomic consensus for Kadoma (Region III): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Soybean,1,AGRI-EXPERT-03,"Agronomic consensus for Kadoma (Region III): Soybean is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Cotton,1,AGRI-EXPERT-01,"Agronomic consensus for Kadoma (Region III): Cotton is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Groundnuts,0,AGRI-EXPERT-02,Agronomic consensus for Kadoma (Region III): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Sorghum,1,AGRI-EXPERT-02,"Agronomic consensus for Kadoma (Region III): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Sunflower,0,AGRI-EXPERT-03,Agronomic consensus for Kadoma (Region III): Sunflower is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,SweetPotato,0,AGRI-EXPERT-01,Agronomic consensus for Kadoma (Region III): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Kadoma,Cassava,0,AGRI-EXPERT-03,Agronomic consensus for Kadoma (Region III): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region III,EXPERT GROUND-TRUTH DATA
Murehwa,Maize,1,AGRI-EXPERT-01,"Agronomic consensus for Murehwa (Region IIb): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Tobacco,1,AGRI-EXPERT-01,"Agronomic consensus for Murehwa (Region IIb): Tobacco is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Wheat,0,AGRI-EXPERT-01,Agronomic consensus for Murehwa (Region IIb): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Soybean,0,AGRI-EXPERT-03,Agronomic consensus for Murehwa (Region IIb): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Cotton,0,AGRI-EXPERT-04,Agronomic consensus for Murehwa (Region IIb): Cotton is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Groundnuts,1,AGRI-EXPERT-02,"Agronomic consensus for Murehwa (Region IIb): Groundnuts is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
Murehwa,Sorghum,0,AGRI-EXPERT-03,Agronomic consensus for Murehwa (Region IIb): Sorghum is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIb,EXPERT GROUND-TRUTH DATA
